,Date,date_dt,location,count,month_day,year,month,location_name
81,2013-03-23 00:00:00,2013-03-23,1^ALEX,0.0,03-23,2013,3,Alexandra Bridge
82,2013-03-24 00:00:00,2013-03-24,1^ALEX,5.0,03-24,2013,3,Alexandra Bridge
83,2013-03-25 00:00:00,2013-03-25,1^ALEX,15.0,03-25,2013,3,Alexandra Bridge
84,2013-03-26 00:00:00,2013-03-26,1^ALEX,54.0,03-26,2013,3,Alexandra Bridge
85,2013-03-27 00:00:00,2013-03-27,1^ALEX,66.0,03-27,2013,3,Alexandra Bridge
86,2013-03-28 00:00:00,2013-03-28,1^ALEX,86.0,03-28,2013,3,Alexandra Bridge
87,2013-03-29 00:00:00,2013-03-29,1^ALEX,55.0,03-29,2013,3,Alexandra Bridge
88,2013-03-30 00:00:00,2013-03-30,1^ALEX,92.0,03-30,2013,3,Alexandra Bridge
89,2013-03-31 00:00:00,2013-03-31,1^ALEX,118.0,03-31,2013,3,Alexandra Bridge
90,2013-04-01 00:00:00,2013-04-01,1^ALEX,94.0,04-01,2013,4,Alexandra Bridge
91,2013-04-02 00:00:00,2013-04-02,1^ALEX,235.0,04-02,2013,4,Alexandra Bridge
92,2013-04-03 00:00:00,2013-04-03,1^ALEX,317.0,04-03,2013,4,Alexandra Bridge
93,2013-04-04 00:00:00,2013-04-04,1^ALEX,510.0,04-04,2013,4,Alexandra Bridge
94,2013-04-05 00:00:00,2013-04-05,1^ALEX,503.0,04-05,2013,4,Alexandra Bridge
95,2013-04-06 00:00:00,2013-04-06,1^ALEX,333.0,04-06,2013,4,Alexandra Bridge
96,2013-04-07 00:00:00,2013-04-07,1^ALEX,181.0,04-07,2013,4,Alexandra Bridge
97,2013-04-08 00:00:00,2013-04-08,1^ALEX,797.0,04-08,2013,4,Alexandra Bridge
98,2013-04-09 00:00:00,2013-04-09,1^ALEX,735.0,04-09,2013,4,Alexandra Bridge
99,2013-04-10 00:00:00,2013-04-10,1^ALEX,876.0,04-10,2013,4,Alexandra Bridge
100,2013-04-11 00:00:00,2013-04-11,1^ALEX,618.0,04-11,2013,4,Alexandra Bridge
101,2013-04-12 00:00:00,2013-04-12,1^ALEX,57.0,04-12,2013,4,Alexandra Bridge
102,2013-04-13 00:00:00,2013-04-13,1^ALEX,122.0,04-13,2013,4,Alexandra Bridge
103,2013-04-14 00:00:00,2013-04-14,1^ALEX,256.0,04-14,2013,4,Alexandra Bridge
104,2013-04-15 00:00:00,2013-04-15,1^ALEX,986.0,04-15,2013,4,Alexandra Bridge
105,2013-04-16 00:00:00,2013-04-16,1^ALEX,606.0,04-16,2013,4,Alexandra Bridge
106,2013-04-17 00:00:00,2013-04-17,1^ALEX,1195.0,04-17,2013,4,Alexandra Bridge
107,2013-04-18 00:00:00,2013-04-18,1^ALEX,706.0,04-18,2013,4,Alexandra Bridge
108,2013-04-19 00:00:00,2013-04-19,1^ALEX,727.0,04-19,2013,4,Alexandra Bridge
109,2013-04-20 00:00:00,2013-04-20,1^ALEX,297.0,04-20,2013,4,Alexandra Bridge
110,2013-04-21 00:00:00,2013-04-21,1^ALEX,588.0,04-21,2013,4,Alexandra Bridge
111,2013-04-22 00:00:00,2013-04-22,1^ALEX,1238.0,04-22,2013,4,Alexandra Bridge
112,2013-04-23 00:00:00,2013-04-23,1^ALEX,1445.0,04-23,2013,4,Alexandra Bridge
113,2013-04-24 00:00:00,2013-04-24,1^ALEX,808.0,04-24,2013,4,Alexandra Bridge
114,2013-04-25 00:00:00,2013-04-25,1^ALEX,1311.0,04-25,2013,4,Alexandra Bridge
115,2013-04-26 00:00:00,2013-04-26,1^ALEX,934.0,04-26,2013,4,Alexandra Bridge
116,2013-04-27 00:00:00,2013-04-27,1^ALEX,608.0,04-27,2013,4,Alexandra Bridge
117,2013-04-28 00:00:00,2013-04-28,1^ALEX,1774.0,04-28,2013,4,Alexandra Bridge
118,2013-04-29 00:00:00,2013-04-29,1^ALEX,1177.0,04-29,2013,4,Alexandra Bridge
119,2013-04-30 00:00:00,2013-04-30,1^ALEX,1009.0,04-30,2013,4,Alexandra Bridge
120,2013-05-01 00:00:00,2013-05-01,1^ALEX,2023.0,05-01,2013,5,Alexandra Bridge
121,2013-05-02 00:00:00,2013-05-02,1^ALEX,2173.0,05-02,2013,5,Alexandra Bridge
122,2013-05-03 00:00:00,2013-05-03,1^ALEX,2113.0,05-03,2013,5,Alexandra Bridge
123,2013-05-04 00:00:00,2013-05-04,1^ALEX,1733.0,05-04,2013,5,Alexandra Bridge
124,2013-05-05 00:00:00,2013-05-05,1^ALEX,1929.0,05-05,2013,5,Alexandra Bridge
125,2013-05-06 00:00:00,2013-05-06,1^ALEX,2083.0,05-06,2013,5,Alexandra Bridge
126,2013-05-07 00:00:00,2013-05-07,1^ALEX,2357.0,05-07,2013,5,Alexandra Bridge
127,2013-05-08 00:00:00,2013-05-08,1^ALEX,2483.0,05-08,2013,5,Alexandra Bridge
128,2013-05-09 00:00:00,2013-05-09,1^ALEX,1927.0,05-09,2013,5,Alexandra Bridge
129,2013-05-10 00:00:00,2013-05-10,1^ALEX,1332.0,05-10,2013,5,Alexandra Bridge
130,2013-05-11 00:00:00,2013-05-11,1^ALEX,675.0,05-11,2013,5,Alexandra Bridge
131,2013-05-12 00:00:00,2013-05-12,1^ALEX,698.0,05-12,2013,5,Alexandra Bridge
132,2013-05-13 00:00:00,2013-05-13,1^ALEX,1166.0,05-13,2013,5,Alexandra Bridge
133,2013-05-14 00:00:00,2013-05-14,1^ALEX,1778.0,05-14,2013,5,Alexandra Bridge
134,2013-05-15 00:00:00,2013-05-15,1^ALEX,1535.0,05-15,2013,5,Alexandra Bridge
135,2013-05-16 00:00:00,2013-05-16,1^ALEX,2125.0,05-16,2013,5,Alexandra Bridge
136,2013-05-17 00:00:00,2013-05-17,1^ALEX,2068.0,05-17,2013,5,Alexandra Bridge
137,2013-05-18 00:00:00,2013-05-18,1^ALEX,2224.0,05-18,2013,5,Alexandra Bridge
138,2013-05-19 00:00:00,2013-05-19,1^ALEX,1430.0,05-19,2013,5,Alexandra Bridge
139,2013-05-20 00:00:00,2013-05-20,1^ALEX,1823.0,05-20,2013,5,Alexandra Bridge
140,2013-05-21 00:00:00,2013-05-21,1^ALEX,1270.0,05-21,2013,5,Alexandra Bridge
141,2013-05-22 00:00:00,2013-05-22,1^ALEX,1257.0,05-22,2013,5,Alexandra Bridge
142,2013-05-23 00:00:00,2013-05-23,1^ALEX,1288.0,05-23,2013,5,Alexandra Bridge
143,2013-05-24 00:00:00,2013-05-24,1^ALEX,889.0,05-24,2013,5,Alexandra Bridge
144,2013-05-25 00:00:00,2013-05-25,1^ALEX,1089.0,05-25,2013,5,Alexandra Bridge
145,2013-05-26 00:00:00,2013-05-26,1^ALEX,1417.0,05-26,2013,5,Alexandra Bridge
146,2013-05-27 00:00:00,2013-05-27,1^ALEX,2330.0,05-27,2013,5,Alexandra Bridge
147,2013-05-28 00:00:00,2013-05-28,1^ALEX,2354.0,05-28,2013,5,Alexandra Bridge
148,2013-05-29 00:00:00,2013-05-29,1^ALEX,875.0,05-29,2013,5,Alexandra Bridge
149,2013-05-30 00:00:00,2013-05-30,1^ALEX,2393.0,05-30,2013,5,Alexandra Bridge
150,2013-05-31 00:00:00,2013-05-31,1^ALEX,1788.0,05-31,2013,5,Alexandra Bridge
151,2013-06-01 00:00:00,2013-06-01,1^ALEX,796.0,06-01,2013,6,Alexandra Bridge
152,2013-06-02 00:00:00,2013-06-02,1^ALEX,735.0,06-02,2013,6,Alexandra Bridge
153,2013-06-03 00:00:00,2013-06-03,1^ALEX,2276.0,06-03,2013,6,Alexandra Bridge
154,2013-06-04 00:00:00,2013-06-04,1^ALEX,2701.0,06-04,2013,6,Alexandra Bridge
155,2013-06-05 00:00:00,2013-06-05,1^ALEX,2583.0,06-05,2013,6,Alexandra Bridge
156,2013-06-06 00:00:00,2013-06-06,1^ALEX,1139.0,06-06,2013,6,Alexandra Bridge
157,2013-06-07 00:00:00,2013-06-07,1^ALEX,580.0,06-07,2013,6,Alexandra Bridge
158,2013-06-08 00:00:00,2013-06-08,1^ALEX,639.0,06-08,2013,6,Alexandra Bridge
159,2013-06-09 00:00:00,2013-06-09,1^ALEX,2130.0,06-09,2013,6,Alexandra Bridge
160,2013-06-10 00:00:00,2013-06-10,1^ALEX,2022.0,06-10,2013,6,Alexandra Bridge
161,2013-06-11 00:00:00,2013-06-11,1^ALEX,546.0,06-11,2013,6,Alexandra Bridge
162,2013-06-12 00:00:00,2013-06-12,1^ALEX,2429.0,06-12,2013,6,Alexandra Bridge
163,2013-06-13 00:00:00,2013-06-13,1^ALEX,2221.0,06-13,2013,6,Alexandra Bridge
164,2013-06-14 00:00:00,2013-06-14,1^ALEX,2165.0,06-14,2013,6,Alexandra Bridge
165,2013-06-15 00:00:00,2013-06-15,1^ALEX,1851.0,06-15,2013,6,Alexandra Bridge
166,2013-06-16 00:00:00,2013-06-16,1^ALEX,380.0,06-16,2013,6,Alexandra Bridge
167,2013-06-17 00:00:00,2013-06-17,1^ALEX,1874.0,06-17,2013,6,Alexandra Bridge
168,2013-06-18 00:00:00,2013-06-18,1^ALEX,2441.0,06-18,2013,6,Alexandra Bridge
169,2013-06-19 00:00:00,2013-06-19,1^ALEX,2582.0,06-19,2013,6,Alexandra Bridge
170,2013-06-20 00:00:00,2013-06-20,1^ALEX,2493.0,06-20,2013,6,Alexandra Bridge
171,2013-06-21 00:00:00,2013-06-21,1^ALEX,2329.0,06-21,2013,6,Alexandra Bridge
172,2013-06-22 00:00:00,2013-06-22,1^ALEX,533.0,06-22,2013,6,Alexandra Bridge
173,2013-06-23 00:00:00,2013-06-23,1^ALEX,1362.0,06-23,2013,6,Alexandra Bridge
174,2013-06-24 00:00:00,2013-06-24,1^ALEX,1576.0,06-24,2013,6,Alexandra Bridge
175,2013-06-25 00:00:00,2013-06-25,1^ALEX,1930.0,06-25,2013,6,Alexandra Bridge
176,2013-06-26 00:00:00,2013-06-26,1^ALEX,2124.0,06-26,2013,6,Alexandra Bridge
177,2013-06-27 00:00:00,2013-06-27,1^ALEX,2285.0,06-27,2013,6,Alexandra Bridge
178,2013-06-28 00:00:00,2013-06-28,1^ALEX,564.0,06-28,2013,6,Alexandra Bridge
179,2013-06-29 00:00:00,2013-06-29,1^ALEX,1020.0,06-29,2013,6,Alexandra Bridge
180,2013-06-30 00:00:00,2013-06-30,1^ALEX,2748.0,06-30,2013,6,Alexandra Bridge
181,2013-07-01 00:00:00,2013-07-01,1^ALEX,611.0,07-01,2013,7,Alexandra Bridge
182,2013-07-02 00:00:00,2013-07-02,1^ALEX,1459.0,07-02,2013,7,Alexandra Bridge
183,2013-07-03 00:00:00,2013-07-03,1^ALEX,2174.0,07-03,2013,7,Alexandra Bridge
184,2013-07-04 00:00:00,2013-07-04,1^ALEX,1913.0,07-04,2013,7,Alexandra Bridge
185,2013-07-05 00:00:00,2013-07-05,1^ALEX,1759.0,07-05,2013,7,Alexandra Bridge
186,2013-07-06 00:00:00,2013-07-06,1^ALEX,1541.0,07-06,2013,7,Alexandra Bridge
